#size	time	papi	pfs	ndk
2	0	45	0	1
#size	time	papi	pfs	ndk
4	0	54	0	1
#size	time	papi	pfs	ndk
8	0	65	0	1
#size	time	papi	pfs	ndk
16	0	73	0	1
#size	time	papi	pfs	ndk
32	0	83	0	1
#size	time	papi	pfs	ndk
64	0	90	0	1
#size	time	papi	pfs	ndk
128	0	100	0	1
#size	time	papi	pfs	ndk
256	0	110	0	1
#size	time	papi	pfs	ndk
512	0	121	0	1
#size	time	papi	pfs	ndk
1024	0	131	0	1
#size	time	papi	pfs	ndk
2048	0	139	0	1
#size	time	papi	pfs	ndk
4096	0	147	0	1
#size	time	papi	pfs	ndk
8192	0	156	0	1
#size	time	papi	pfs	ndk
16384	0	166	0	1
#size	time	papi	pfs	ndk
32768	0	176	0	1
#size	time	papi	pfs	ndk
65536	0	186	0	1
#size	time	papi	pfs	ndk
131072	0	195	0	1
#size	time	papi	pfs	ndk
262144	0	203	0	1
#size	time	papi	pfs	ndk
524288	0	215	5	1
#size	time	papi	pfs	ndk
1048576	0	222	5	1
#size	time	papi	pfs	ndk
2097152	0	231	4	1
