#size	time	papi	pfs	ndk
2	0	227	0	1
#size	time	papi	pfs	ndk
4	0	266	0	1
#size	time	papi	pfs	ndk
8	0	344	0	1
#size	time	papi	pfs	ndk
16	0	391	0	1
#size	time	papi	pfs	ndk
32	0	579	0	1
#size	time	papi	pfs	ndk
64	0	856	0	1
#size	time	papi	pfs	ndk
128	0	1480	0	1
#size	time	papi	pfs	ndk
256	0	2556	0	1
#size	time	papi	pfs	ndk
512	0	4727	0	1
#size	time	papi	pfs	ndk
1024	0	9101	0	1
#size	time	papi	pfs	ndk
2048	0	17794	0	1
#size	time	papi	pfs	ndk
4096	0	35165	0	1
#size	time	papi	pfs	ndk
8192	0	69925	0	1
#size	time	papi	pfs	ndk
16384	0	139652	0	1
#size	time	papi	pfs	ndk
32768	1	278739	0	1
#size	time	papi	pfs	ndk
65536	3	557339	0	1
#size	time	papi	pfs	ndk
131072	6	1114169	0	1
#size	time	papi	pfs	ndk
262144	13	2228474	10	1
#size	time	papi	pfs	ndk
524288	26	4457082	513	1
#size	time	papi	pfs	ndk
1048576	52	8913466	515	1
#size	time	papi	pfs	ndk
2097152	104	17825898	519	1
