#size	time	papi	pfs	ndk
2	0	46	0	1
#size	time	papi	pfs	ndk
4	0	55	0	1
#size	time	papi	pfs	ndk
8	0	67	0	1
#size	time	papi	pfs	ndk
16	0	100	0	1
#size	time	papi	pfs	ndk
32	0	258	0	1
#size	time	papi	pfs	ndk
64	0	1003	0	1
#size	time	papi	pfs	ndk
128	0	4401	0	28
#size	time	papi	pfs	ndk
256	0	13262	0	156
#size	time	papi	pfs	ndk
512	0	33137	0	412
#size	time	papi	pfs	ndk
1024	0	77763	0	924
#size	time	papi	pfs	ndk
2048	1	177447	0	1948
#size	time	papi	pfs	ndk
4096	3	395894	0	3996
#size	time	papi	pfs	ndk
8192	7	871519	0	8092
#size	time	papi	pfs	ndk
16384	16	1900068	0	16284
#size	time	papi	pfs	ndk
32768	36	4114065	0	32668
#size	time	papi	pfs	ndk
65536	79	8853246	0	65436
#size	time	papi	pfs	ndk
131072	171	18951662	0	130972
#size	time	papi	pfs	ndk
262144	374	40393804	0	262044
#size	time	papi	pfs	ndk
524288	859	85783252	0	524188
#size	time	papi	pfs	ndk
1048576	1992	181520911	0	1048476
#size	time	papi	pfs	ndk
2097152	4510	382966084	0	2097052
