#size	time	papi	pfs	ndk
1048576	0	40	0	0
#size	time	papi	pfs	ndk
1048576	60	8913018	515	1
#size	time	papi	pfs	ndk
1048576	0	1818	0	3
#size	time	papi	pfs	ndk
1048576	0	4212	0	7
#size	time	papi	pfs	ndk
1048576	0	8897	0	15
#size	time	papi	pfs	ndk
1048576	0	18062	0	31
#size	time	papi	pfs	ndk
1048576	0	36256	0	63
#size	time	papi	pfs	ndk
1048576	0	72967	0	127
#size	time	papi	pfs	ndk
1048576	0	145180	0	255
#size	time	papi	pfs	ndk
1048576	1	288823	0	511
#size	time	papi	pfs	ndk
1048576	2	574629	0	1023
#size	time	papi	pfs	ndk
1048576	5	1142393	0	2047
#size	time	papi	pfs	ndk
1048576	10	2268723	0	4095
#size	time	papi	pfs	ndk
1048576	22	4507889	0	8191
#size	time	papi	pfs	ndk
1048576	43	8954104	0	16383
#size	time	papi	pfs	ndk
1048576	83	17793828	0	32767
#size	time	papi	pfs	ndk
1048576	172	35108383	0	65535
#size	time	papi	pfs	ndk
1048576	347	68509543	0	131071
#size	time	papi	pfs	ndk
1048576	713	134595843	0	262143
#size	time	papi	pfs	ndk
1048576	1429	266170462	0	524287
