#size	time	papi	pfs	ndk
2	0	47	0	2
#size	time	papi	pfs	ndk
4	0	50	0	2
#size	time	papi	pfs	ndk
8	0	63	0	2
#size	time	papi	pfs	ndk
16	0	76	0	2
#size	time	papi	pfs	ndk
32	0	86	0	2
#size	time	papi	pfs	ndk
64	0	96	0	2
#size	time	papi	pfs	ndk
128	0	106	0	2
#size	time	papi	pfs	ndk
256	0	116	0	2
#size	time	papi	pfs	ndk
512	0	126	0	2
#size	time	papi	pfs	ndk
1024	0	136	0	2
#size	time	papi	pfs	ndk
2048	0	146	0	2
#size	time	papi	pfs	ndk
4096	0	156	0	2
#size	time	papi	pfs	ndk
8192	0	166	0	2
#size	time	papi	pfs	ndk
16384	0	176	0	2
#size	time	papi	pfs	ndk
32768	0	186	0	2
#size	time	papi	pfs	ndk
65536	0	196	0	2
#size	time	papi	pfs	ndk
131072	0	206	0	2
#size	time	papi	pfs	ndk
262144	0	216	0	2
#size	time	papi	pfs	ndk
524288	0	226	0	2
#size	time	papi	pfs	ndk
1048576	0	236	0	2
#size	time	papi	pfs	ndk
2097152	0	246	0	2
