#size	time	papi	pfs	ndk
2	0	67	0	2
#size	time	papi	pfs	ndk
4	0	251	0	2
#size	time	papi	pfs	ndk
8	0	256	0	2
#size	time	papi	pfs	ndk
16	0	287	0	2
#size	time	papi	pfs	ndk
32	0	307	0	2
#size	time	papi	pfs	ndk
64	0	351	0	2
#size	time	papi	pfs	ndk
128	0	399	0	2
#size	time	papi	pfs	ndk
256	0	416	0	2
#size	time	papi	pfs	ndk
512	0	449	0	2
#size	time	papi	pfs	ndk
1024	0	564	0	2
#size	time	papi	pfs	ndk
2048	0	505	0	2
#size	time	papi	pfs	ndk
4096	0	557	0	2
#size	time	papi	pfs	ndk
8192	0	572	0	2
#size	time	papi	pfs	ndk
16384	0	598	0	2
#size	time	papi	pfs	ndk
32768	0	523	0	2
#size	time	papi	pfs	ndk
65536	0	547	0	2
#size	time	papi	pfs	ndk
131072	0	568	0	2
#size	time	papi	pfs	ndk
262144	0	589	0	2
#size	time	papi	pfs	ndk
524288	0	613	0	2
#size	time	papi	pfs	ndk
1048576	0	634	0	2
#size	time	papi	pfs	ndk
2097152	0	658	0	2
