#size	time	papi	pfs	ndk
2	0	45	0	1
#size	time	papi	pfs	ndk
4	0	55	0	1
#size	time	papi	pfs	ndk
8	0	68	0	1
#size	time	papi	pfs	ndk
16	0	103	0	1
#size	time	papi	pfs	ndk
32	0	256	0	1
#size	time	papi	pfs	ndk
64	0	1022	0	1
#size	time	papi	pfs	ndk
128	0	4437	0	28
#size	time	papi	pfs	ndk
256	0	13292	0	156
#size	time	papi	pfs	ndk
512	0	33305	0	412
#size	time	papi	pfs	ndk
1024	0	78151	0	924
#size	time	papi	pfs	ndk
2048	1	178530	0	1948
#size	time	papi	pfs	ndk
4096	3	398264	0	3996
#size	time	papi	pfs	ndk
8192	7	875600	0	8092
#size	time	papi	pfs	ndk
16384	16	1910826	0	16284
#size	time	papi	pfs	ndk
32768	35	4141498	0	32668
#size	time	papi	pfs	ndk
65536	76	8888984	0	65436
#size	time	papi	pfs	ndk
131072	165	19021993	0	130972
#size	time	papi	pfs	ndk
262144	356	40519773	0	262044
#size	time	papi	pfs	ndk
524288	760	86166574	0	524188
#size	time	papi	pfs	ndk
1048576	1615	182460038	0	1048476
#size	time	papi	pfs	ndk
2097152	3423	384533683	0	2097052
