#size	time	papi	pfs	ndk
2	0	274	0	1
#size	time	papi	pfs	ndk
4	0	295	0	1
#size	time	papi	pfs	ndk
8	0	414	0	1
#size	time	papi	pfs	ndk
16	0	549	0	1
#size	time	papi	pfs	ndk
32	0	1377	0	1
#size	time	papi	pfs	ndk
64	0	4693	0	1
#size	time	papi	pfs	ndk
128	0	17972	0	28
#size	time	papi	pfs	ndk
256	0	50290	0	156
#size	time	papi	pfs	ndk
512	0	119319	0	412
#size	time	papi	pfs	ndk
1024	0	276006	0	924
#size	time	papi	pfs	ndk
2048	1	628911	0	1948
#size	time	papi	pfs	ndk
4096	3	1439376	0	3996
#size	time	papi	pfs	ndk
8192	7	3349378	0	8092
#size	time	papi	pfs	ndk
16384	17	6784561	0	16284
#size	time	papi	pfs	ndk
32768	36	15620113	0	32668
#size	time	papi	pfs	ndk
65536	78	31897458	0	65436
#size	time	papi	pfs	ndk
131072	164	62779587	0	130972
#size	time	papi	pfs	ndk
262144	351	127408514	0	262044
#size	time	papi	pfs	ndk
524288	740	262488434	0	524188
#size	time	papi	pfs	ndk
1048576	1625	543334543	0	1048476
#size	time	papi	pfs	ndk
2097152	3496	1139682320	0	2097052
