#size	time	papi	pfs	ndk
8	0	620	0	35
#size	time	papi	pfs	ndk
16	0	1165	0	75
#size	time	papi	pfs	ndk
32	0	2690	0	155
#size	time	papi	pfs	ndk
64	0	6847	0	315
#size	time	papi	pfs	ndk
128	0	18153	0	635
#size	time	papi	pfs	ndk
256	0	53705	0	1275
#size	time	papi	pfs	ndk
512	1	171640	0	2555
#size	time	papi	pfs	ndk
1024	4	588829	0	5115
#size	time	papi	pfs	ndk
2048	15	2133852	1	10235
#size	time	papi	pfs	ndk
4096	58	8055934	3	20475
#size	time	papi	pfs	ndk
8192	224	31109120	7	40955
#size	time	papi	pfs	ndk
16384	882	122102829	14	81915
#size	time	papi	pfs	ndk
32768	3490	483253619	28	163835
