#size	time	papi	pfs	ndk
8	0	1723	0	35
#size	time	papi	pfs	ndk
16	0	3740	0	75
#size	time	papi	pfs	ndk
32	0	8430	0	155
#size	time	papi	pfs	ndk
64	0	18942	0	315
#size	time	papi	pfs	ndk
128	0	43392	0	635
#size	time	papi	pfs	ndk
256	0	106952	0	1275
#size	time	papi	pfs	ndk
512	1	281347	1	2555
#size	time	papi	pfs	ndk
1024	4	825344	3	5115
#size	time	papi	pfs	ndk
2048	15	2631431	6	10235
#size	time	papi	pfs	ndk
4096	58	9225308	11	20475
#size	time	papi	pfs	ndk
8192	224	33661937	23	40955
#size	time	papi	pfs	ndk
16384	881	127931172	45	81915
#size	time	papi	pfs	ndk
32768	3492	494513405	424	163835
