#size	time	papi	pfs	ndk
8	0	626	0	45
#size	time	papi	pfs	ndk
16	0	1449	0	270
#size	time	papi	pfs	ndk
32	0	3816	0	1045
#size	time	papi	pfs	ndk
64	0	12036	0	4510
#size	time	papi	pfs	ndk
128	0	38984	0	17845
#size	time	papi	pfs	ndk
256	1	139442	0	72670
#size	time	papi	pfs	ndk
512	3	513759	0	289845
#size	time	papi	pfs	ndk
1024	13	1968915	0	1164510
#size	time	papi	pfs	ndk
2048	52	7654507	1	4654645
#size	time	papi	pfs	ndk
4096	204	30185311	3	18639070
#size	time	papi	pfs	ndk
8192	806	119691165	6	74542645
#size	time	papi	pfs	ndk
16384	3083	444620651	12	298252510
#size	time	papi	pfs	ndk
32768	11668	1598661869	25	1192955445
