#size	time	papi	pfs	ndk
8	0	1802	0	45
#size	time	papi	pfs	ndk
16	0	4163	0	270
#size	time	papi	pfs	ndk
32	0	10178	0	1045
#size	time	papi	pfs	ndk
64	0	28106	0	4510
#size	time	papi	pfs	ndk
128	0	82392	0	17845
#size	time	papi	pfs	ndk
256	1	279365	0	72670
#size	time	papi	pfs	ndk
512	4	990950	0	289845
#size	time	papi	pfs	ndk
1024	15	3756415	2	1164510
#size	time	papi	pfs	ndk
2048	60	14529038	4	4654645
#size	time	papi	pfs	ndk
4096	237	57090721	10	18639070
#size	time	papi	pfs	ndk
8192	943	226037174	18	74542645
#size	time	papi	pfs	ndk
16384	8679	3234508356	39	298252510
#size	time	papi	pfs	ndk
32768	71000	28096680026	412	1192955445
