#size	time	papi	pfs	ndk
256	1	86189	1	2228
#size	time	papi	pfs	ndk
512	1	175488	0	4226
#size	time	papi	pfs	ndk
1024	3	364258	2	8688
#size	time	papi	pfs	ndk
2048	6	752409	4	17412
#size	time	papi	pfs	ndk
4096	13	1556760	9	35042
#size	time	papi	pfs	ndk
8192	29	3211177	19	69162
#size	time	papi	pfs	ndk
16384	60	6639538	65	139460
#size	time	papi	pfs	ndk
32768	127	13705444	79	279292
#size	time	papi	pfs	ndk
65536	292	28202198	159	557236
#size	time	papi	pfs	ndk
131072	575	58153901	319	1117020
#size	time	papi	pfs	ndk
262144	1324	119688213	639	2235092
#size	time	papi	pfs	ndk
524288	3246	245918746	1024	4456284
#size	time	papi	pfs	ndk
1048576	8916	505233985	1282	8924748
#size	time	papi	pfs	ndk
2097152	20104	1037680705	1542	17847238
#size	time	papi	pfs	ndk
4194304	12092699	2128830351	1464866	35685402
