#size	time	papi	pfs	ndk
256	1	143198	4	2228
#size	time	papi	pfs	ndk
512	1	294120	4	4226
#size	time	papi	pfs	ndk
1024	3	608298	7	8688
#size	time	papi	pfs	ndk
2048	6	1265459	16	17412
#size	time	papi	pfs	ndk
4096	13	2723966	31	35042
#size	time	papi	pfs	ndk
8192	28	5570119	126	69162
#size	time	papi	pfs	ndk
16384	57	11482999	255	139460
#size	time	papi	pfs	ndk
32768	127	23537049	496	279292
#size	time	papi	pfs	ndk
65536	328	48604673	1007	557236
#size	time	papi	pfs	ndk
131072	692	100333046	2031	1117020
#size	time	papi	pfs	ndk
262144	1475	205253464	4080	2235092
#size	time	papi	pfs	ndk
524288	3393	418131868	7664	4456284
#size	time	papi	pfs	ndk
1048576	9273	847213095	14834	8924748
#size	time	papi	pfs	ndk
2097152	20070	1723248092	29175	17847238
