#size	time	papi	pfs	ndk
8	0	839	0	35
#size	time	papi	pfs	ndk
16	0	1299	0	90
#size	time	papi	pfs	ndk
32	0	2811	0	235
#size	time	papi	pfs	ndk
64	0	7400	0	740
#size	time	papi	pfs	ndk
128	0	19667	0	1815
#size	time	papi	pfs	ndk
256	1	59486	0	4580
#size	time	papi	pfs	ndk
512	2	189361	0	11435
#size	time	papi	pfs	ndk
1024	5	641643	1	25865
#size	time	papi	pfs	ndk
2048	17	2241680	2	53045
#size	time	papi	pfs	ndk
4096	61	8273742	4	105530
#size	time	papi	pfs	ndk
8192	232	31543750	7	213970
#size	time	papi	pfs	ndk
16384	897	122937806	14	423740
#size	time	papi	pfs	ndk
32768	3528	484909947	28	846760
