#size	time	papi	pfs	ndk
8	0	1881	0	35
#size	time	papi	pfs	ndk
16	0	3745	0	90
#size	time	papi	pfs	ndk
32	0	8402	0	235
#size	time	papi	pfs	ndk
64	0	20116	0	740
#size	time	papi	pfs	ndk
128	0	47784	0	1815
#size	time	papi	pfs	ndk
256	1	118037	0	4580
#size	time	papi	pfs	ndk
512	2	309455	1	11435
#size	time	papi	pfs	ndk
1024	4	867479	3	25865
#size	time	papi	pfs	ndk
2048	16	2778853	6	53045
#size	time	papi	pfs	ndk
4096	61	9387597	12	105530
#size	time	papi	pfs	ndk
8192	231	34115262	124	213970
#size	time	papi	pfs	ndk
16384	899	128381846	226	423740
#size	time	papi	pfs	ndk
32768	3543	495957538	482	846760
