#size	time	papi	pfs	ndk
1	0	42	0	1
#size	time	papi	pfs	ndk
2	0	41	0	1
#size	time	papi	pfs	ndk
4	0	45	0	1
#size	time	papi	pfs	ndk
8	0	49	0	1
#size	time	papi	pfs	ndk
16	0	53	0	1
#size	time	papi	pfs	ndk
32	0	57	0	1
#size	time	papi	pfs	ndk
64	0	61	0	1
#size	time	papi	pfs	ndk
128	0	65	0	1
#size	time	papi	pfs	ndk
256	0	69	0	1
#size	time	papi	pfs	ndk
512	0	73	0	1
#size	time	papi	pfs	ndk
1024	0	77	0	1
#size	time	papi	pfs	ndk
2048	0	81	0	1
#size	time	papi	pfs	ndk
4096	0	85	0	1
#size	time	papi	pfs	ndk
8192	0	89	0	1
#size	time	papi	pfs	ndk
16384	0	93	0	1
#size	time	papi	pfs	ndk
32768	0	97	0	1
#size	time	papi	pfs	ndk
65536	0	101	0	1
#size	time	papi	pfs	ndk
131072	0	105	0	1
#size	time	papi	pfs	ndk
262144	0	109	0	1
#size	time	papi	pfs	ndk
524288	0	113	0	1
