#size	time	papi	pfs	ndk
32768	0	52	0	1
#size	time	papi	pfs	ndk
32768	0	66	0	2
#size	time	papi	pfs	ndk
32768	0	94	0	4
#size	time	papi	pfs	ndk
32768	0	150	0	8
#size	time	papi	pfs	ndk
32768	0	262	0	16
#size	time	papi	pfs	ndk
32768	0	486	0	32
#size	time	papi	pfs	ndk
32768	0	934	0	64
#size	time	papi	pfs	ndk
32768	0	1830	0	128
#size	time	papi	pfs	ndk
32768	0	3619	0	256
#size	time	papi	pfs	ndk
32768	0	7206	0	512
#size	time	papi	pfs	ndk
32768	0	14374	0	1024
#size	time	papi	pfs	ndk
32768	0	28710	0	2048
#size	time	papi	pfs	ndk
32768	0	57370	0	4096
#size	time	papi	pfs	ndk
32768	0	114711	0	8192
#size	time	papi	pfs	ndk
32768	1	229396	0	16384
#size	time	papi	pfs	ndk
32768	2	458763	0	32768
#size	time	papi	pfs	ndk
32768	4	917456	0	65536
#size	time	papi	pfs	ndk
32768	8	1834820	0	131072
#size	time	papi	pfs	ndk
32768	15	3669681	0	262144
#size	time	papi	pfs	ndk
32768	29	7339237	0	524288
#size	time	papi	pfs	ndk
32768	58	14678709	0	1048576
#size	time	papi	pfs	ndk
32768	115	29357116	0	2097152
#size	time	papi	pfs	ndk
32768	227	58714316	0	4194304
