#size	time	papi	pfs	ndk
32768	0	97	0	1
#size	time	papi	pfs	ndk
32768	0	156	0	2
#size	time	papi	pfs	ndk
32768	0	274	0	4
#size	time	papi	pfs	ndk
32768	0	510	0	8
#size	time	papi	pfs	ndk
32768	0	982	0	16
#size	time	papi	pfs	ndk
32768	0	1926	0	32
#size	time	papi	pfs	ndk
32768	0	3814	0	64
#size	time	papi	pfs	ndk
32768	0	7590	0	128
#size	time	papi	pfs	ndk
32768	0	15142	0	256
#size	time	papi	pfs	ndk
32768	0	30246	0	512
#size	time	papi	pfs	ndk
32768	1	60454	0	1024
#size	time	papi	pfs	ndk
32768	1	120870	0	2048
#size	time	papi	pfs	ndk
32768	3	241702	0	4096
#size	time	papi	pfs	ndk
32768	7	483366	0	8192
#size	time	papi	pfs	ndk
32768	14	966694	0	16384
#size	time	papi	pfs	ndk
32768	29	1933294	0	32768
#size	time	papi	pfs	ndk
32768	59	3866550	0	65536
#size	time	papi	pfs	ndk
32768	118	7733062	0	131072
#size	time	papi	pfs	ndk
32768	247	15466086	0	262144
#size	time	papi	pfs	ndk
32768	484	30932134	0	524288
#size	time	papi	pfs	ndk
32768	962	61864230	0	1048576
#size	time	papi	pfs	ndk
32768	1931	123728422	0	2097152
#size	time	papi	pfs	ndk
32768	3898	247456806	0	4194304
