#size	time	papi	pfs	ndk
32768	0	47	0	1
#size	time	papi	pfs	ndk
32768	0	60	0	2
#size	time	papi	pfs	ndk
32768	0	83	0	4
#size	time	papi	pfs	ndk
32768	0	133	0	8
#size	time	papi	pfs	ndk
32768	0	238	0	16
#size	time	papi	pfs	ndk
32768	0	453	0	32
#size	time	papi	pfs	ndk
32768	0	888	0	64
#size	time	papi	pfs	ndk
32768	0	1763	0	128
#size	time	papi	pfs	ndk
32768	0	3518	0	256
#size	time	papi	pfs	ndk
32768	0	7033	0	512
#size	time	papi	pfs	ndk
32768	0	14068	0	1024
#size	time	papi	pfs	ndk
32768	0	28143	0	2048
#size	time	papi	pfs	ndk
32768	0	56298	0	4096
#size	time	papi	pfs	ndk
32768	0	112613	0	8192
#size	time	papi	pfs	ndk
32768	1	225248	0	16384
#size	time	papi	pfs	ndk
32768	2	450565	0	32768
#size	time	papi	pfs	ndk
32768	3	745477	0	65536
#size	time	papi	pfs	ndk
32768	5	1335300	0	131072
#size	time	papi	pfs	ndk
32768	10	2514934	0	262144
#size	time	papi	pfs	ndk
32768	19	4874245	0	524288
#size	time	papi	pfs	ndk
32768	38	9592837	0	1048576
#size	time	papi	pfs	ndk
32768	76	19030021	0	2097152
#size	time	papi	pfs	ndk
32768	151	37904389	0	4194304
