#size	time	papi	pfs
1	0	4305	0
#size	time	papi	pfs
2	0	4277	0
#size	time	papi	pfs
4	0	4262	0
#size	time	papi	pfs
8	0	4299	0
#size	time	papi	pfs
16	0	4352	0
#size	time	papi	pfs
32	0	4171	0
#size	time	papi	pfs
64	0	4238	0
#size	time	papi	pfs
128	0	4228	0
#size	time	papi	pfs
256	0	4273	0
#size	time	papi	pfs
512	0	4260	0
#size	time	papi	pfs
1024	0	4277	0
#size	time	papi	pfs
2048	0	4222	0
#size	time	papi	pfs
4096	0	4306	0
#size	time	papi	pfs
8192	0	4298	0
#size	time	papi	pfs
16384	0	4192	0
#size	time	papi	pfs
32768	0	4361	0
#size	time	papi	pfs
65536	0	4244	0
#size	time	papi	pfs
131072	0	4331	0
#size	time	papi	pfs
262144	0	4344	0
#size	time	papi	pfs
524288	0	4420	0
#size	time	papi	pfs
1048576	0	4404	0
#size	time	papi	pfs
2097152	0	4460	0
#size	time	papi	pfs
4194304	0	4365	0
