#size	time	papi	pfs	ndk
1	0	988	0	0
#size	time	papi	pfs	ndk
2	0	970	0	0
#size	time	papi	pfs	ndk
4	0	945	0	0
#size	time	papi	pfs	ndk
8	0	956	0	0
#size	time	papi	pfs	ndk
16	0	966	0	0
#size	time	papi	pfs	ndk
32	0	952	0	0
#size	time	papi	pfs	ndk
64	0	942	0	0
#size	time	papi	pfs	ndk
128	0	950	0	0
#size	time	papi	pfs	ndk
256	0	973	0	0
#size	time	papi	pfs	ndk
512	0	974	0	0
#size	time	papi	pfs	ndk
1024	0	999	0	0
#size	time	papi	pfs	ndk
2048	0	964	0	0
#size	time	papi	pfs	ndk
4096	0	964	0	0
#size	time	papi	pfs	ndk
8192	0	956	0	0
#size	time	papi	pfs	ndk
16384	0	943	0	0
#size	time	papi	pfs	ndk
32768	0	938	0	0
#size	time	papi	pfs	ndk
65536	0	932	0	0
#size	time	papi	pfs	ndk
131072	0	972	0	0
#size	time	papi	pfs	ndk
262144	0	929	0	0
#size	time	papi	pfs	ndk
524288	0	958	0	0
#size	time	papi	pfs	ndk
1048576	0	942	0	0
#size	time	papi	pfs	ndk
2097152	0	940	0	0
#size	time	papi	pfs	ndk
4194304	0	941	0	0
