#size	time	papi	pfs
1	0	4222	0
#size	time	papi	pfs
2	0	4244	0
#size	time	papi	pfs
4	0	4249	0
#size	time	papi	pfs
8	0	4267	0
#size	time	papi	pfs
16	0	4328	0
#size	time	papi	pfs
32	0	4083	0
#size	time	papi	pfs
64	0	4207	0
#size	time	papi	pfs
128	0	4135	0
#size	time	papi	pfs
256	0	4157	0
#size	time	papi	pfs
512	0	4238	0
#size	time	papi	pfs
1024	0	4125	0
#size	time	papi	pfs
2048	0	4123	0
#size	time	papi	pfs
4096	0	4259	0
#size	time	papi	pfs
8192	0	4200	0
#size	time	papi	pfs
16384	0	4158	0
#size	time	papi	pfs
32768	0	4131	0
#size	time	papi	pfs
65536	0	4225	0
#size	time	papi	pfs
131072	0	4172	0
#size	time	papi	pfs
262144	0	4069	0
#size	time	papi	pfs
524288	0	4093	0
#size	time	papi	pfs
1048576	0	4215	0
#size	time	papi	pfs
2097152	0	4291	0
#size	time	papi	pfs
4194304	0	4201	0
