#size	time	papi	pfs	ndk
1	0	958	0	0
#size	time	papi	pfs	ndk
2	0	945	0	0
#size	time	papi	pfs	ndk
4	0	923	0	0
#size	time	papi	pfs	ndk
8	0	936	0	0
#size	time	papi	pfs	ndk
16	0	961	0	0
#size	time	papi	pfs	ndk
32	0	956	0	0
#size	time	papi	pfs	ndk
64	0	945	0	0
#size	time	papi	pfs	ndk
128	0	921	0	0
#size	time	papi	pfs	ndk
256	0	949	0	0
#size	time	papi	pfs	ndk
512	0	992	0	0
#size	time	papi	pfs	ndk
1024	0	997	0	0
#size	time	papi	pfs	ndk
2048	0	934	0	0
#size	time	papi	pfs	ndk
4096	0	953	0	0
#size	time	papi	pfs	ndk
8192	0	932	0	0
#size	time	papi	pfs	ndk
16384	0	958	0	0
#size	time	papi	pfs	ndk
32768	0	911	0	0
#size	time	papi	pfs	ndk
65536	0	937	0	0
#size	time	papi	pfs	ndk
131072	0	965	0	0
#size	time	papi	pfs	ndk
262144	0	936	0	0
#size	time	papi	pfs	ndk
524288	0	930	0	0
#size	time	papi	pfs	ndk
1048576	0	933	0	0
#size	time	papi	pfs	ndk
2097152	0	920	0	0
#size	time	papi	pfs	ndk
4194304	0	937	0	0
