#size	time	papi	pfs	ndk
1	0	120	0	0
#size	time	papi	pfs	ndk
2	0	190	0	0
#size	time	papi	pfs	ndk
4	0	288	0	0
#size	time	papi	pfs	ndk
8	0	404	0	500
#size	time	papi	pfs	ndk
16	0	580	0	400
#size	time	papi	pfs	ndk
32	0	901	0	3000
#size	time	papi	pfs	ndk
64	0	1424	0	6400
#size	time	papi	pfs	ndk
128	0	2525	0	14800
#size	time	papi	pfs	ndk
256	0	4462	0	29000
#size	time	papi	pfs	ndk
512	0	8633	0	67300
#size	time	papi	pfs	ndk
1024	0	16055	0	123000
#size	time	papi	pfs	ndk
2048	0	32019	8	264300
#size	time	papi	pfs	ndk
4096	0	62550	16	513300
#size	time	papi	pfs	ndk
8192	1	125415	32	1058300
#size	time	papi	pfs	ndk
16384	3	249018	64	2097500
#size	time	papi	pfs	ndk
32768	6	496328	128	4181300
#size	time	papi	pfs	ndk
65536	12	991075	256	8356300
#size	time	papi	pfs	ndk
131072	24	1982694	512	16759700
#size	time	papi	pfs	ndk
262144	48	3966268	1024	33578500
#size	time	papi	pfs	ndk
524288	96	7932061	1537	67184400
#size	time	papi	pfs	ndk
1048576	193	15865830	2052	134453900
#size	time	papi	pfs	ndk
2097152	383	31732653	2571	268977800
#size	time	papi	pfs	ndk
4194304	767	63453557	3099	537709200
