#size	time	papi	pfs	ndk
1	0	120	0	0
#size	time	papi	pfs	ndk
2	0	191	0	0
#size	time	papi	pfs	ndk
4	0	294	0	0
#size	time	papi	pfs	ndk
8	0	408	0	0
#size	time	papi	pfs	ndk
16	0	602	0	0
#size	time	papi	pfs	ndk
32	0	895	0	0
#size	time	papi	pfs	ndk
64	0	1464	0	0
#size	time	papi	pfs	ndk
128	0	2519	0	0
#size	time	papi	pfs	ndk
256	0	4441	0	0
#size	time	papi	pfs	ndk
512	0	8275	0	0
#size	time	papi	pfs	ndk
1024	0	16285	0	0
#size	time	papi	pfs	ndk
2048	0	31742	8	0
#size	time	papi	pfs	ndk
4096	0	63111	16	0
#size	time	papi	pfs	ndk
8192	1	125759	32	0
#size	time	papi	pfs	ndk
16384	2	249147	64	0
#size	time	papi	pfs	ndk
32768	6	498436	128	0
#size	time	papi	pfs	ndk
65536	12	993808	256	0
#size	time	papi	pfs	ndk
131072	23	1978423	512	0
#size	time	papi	pfs	ndk
262144	48	3968463	1024	0
#size	time	papi	pfs	ndk
524288	96	7926887	1537	0
#size	time	papi	pfs	ndk
1048576	191	15866214	2052	0
#size	time	papi	pfs	ndk
2097152	382	31718941	2571	0
#size	time	papi	pfs	ndk
4194304	764	63434267	3099	0
