#size	time	papi	pfs	ndk
1	0	85	0	0
#size	time	papi	pfs	ndk
2	0	146	0	0
#size	time	papi	pfs	ndk
4	0	213	0	0
#size	time	papi	pfs	ndk
8	0	328	0	0
#size	time	papi	pfs	ndk
16	0	573	0	0
#size	time	papi	pfs	ndk
32	0	1099	0	0
#size	time	papi	pfs	ndk
64	0	2162	0	0
#size	time	papi	pfs	ndk
128	0	4274	0	0
#size	time	papi	pfs	ndk
256	0	8503	0	0
#size	time	papi	pfs	ndk
512	0	16949	0	0
#size	time	papi	pfs	ndk
1024	0	33844	0	0
#size	time	papi	pfs	ndk
2048	0	67659	10	0
#size	time	papi	pfs	ndk
4096	0	135269	49	0
#size	time	papi	pfs	ndk
8192	0	270489	125	0
#size	time	papi	pfs	ndk
16384	1	540889	256	0
#size	time	papi	pfs	ndk
32768	2	1081766	512	0
#size	time	papi	pfs	ndk
65536	5	2163511	1024	0
#size	time	papi	pfs	ndk
131072	9	4326970	2048	0
#size	time	papi	pfs	ndk
262144	20	8653899	4096	0
#size	time	papi	pfs	ndk
524288	40	17307756	8192	0
#size	time	papi	pfs	ndk
1048576	80	34615456	16384	0
#size	time	papi	pfs	ndk
2097152	158	69230888	32768	0
#size	time	papi	pfs	ndk
4194304	320	138461724	65536	0
