#size	time	papi	pfs	ndk
1	0	85	0	0
#size	time	papi	pfs	ndk
2	0	147	0	0
#size	time	papi	pfs	ndk
4	0	214	0	0
#size	time	papi	pfs	ndk
8	0	330	0	0
#size	time	papi	pfs	ndk
16	0	573	0	0
#size	time	papi	pfs	ndk
32	0	1100	0	0
#size	time	papi	pfs	ndk
64	0	2163	0	0
#size	time	papi	pfs	ndk
128	0	4279	0	0
#size	time	papi	pfs	ndk
256	0	8502	0	0
#size	time	papi	pfs	ndk
512	0	16953	0	0
#size	time	papi	pfs	ndk
1024	0	33844	0	0
#size	time	papi	pfs	ndk
2048	0	67661	10	0
#size	time	papi	pfs	ndk
4096	0	135271	49	0
#size	time	papi	pfs	ndk
8192	0	270486	125	0
#size	time	papi	pfs	ndk
16384	1	540892	256	0
#size	time	papi	pfs	ndk
32768	2	1081768	512	0
#size	time	papi	pfs	ndk
65536	4	2163509	1024	0
#size	time	papi	pfs	ndk
131072	9	4326978	2048	0
#size	time	papi	pfs	ndk
262144	19	8653898	4096	0
#size	time	papi	pfs	ndk
524288	39	17307748	8192	0
#size	time	papi	pfs	ndk
1048576	78	34615457	16384	0
#size	time	papi	pfs	ndk
2097152	157	69230882	32768	0
#size	time	papi	pfs	ndk
4194304	313	138461733	65536	0
