#size	time	papi	pfs	ndk
1	0	123	0	0
#size	time	papi	pfs	ndk
2	0	191	0	100
#size	time	papi	pfs	ndk
4	0	295	0	400
#size	time	papi	pfs	ndk
8	0	421	0	1300
#size	time	papi	pfs	ndk
16	0	671	0	3800
#size	time	papi	pfs	ndk
32	0	1109	0	10300
#size	time	papi	pfs	ndk
64	0	2053	0	26400
#size	time	papi	pfs	ndk
128	0	4169	0	64900
#size	time	papi	pfs	ndk
256	0	8733	0	154600
#size	time	papi	pfs	ndk
512	0	18800	0	359500
#size	time	papi	pfs	ndk
1024	0	40900	0	820400
#size	time	papi	pfs	ndk
2048	1	89113	0	1844500
#size	time	papi	pfs	ndk
4096	3	193647	0	4097400
#size	time	papi	pfs	ndk
8192	6	419017	0	9012700
#size	time	papi	pfs	ndk
16384	14	902436	0	19662400
#size	time	papi	pfs	ndk
32768	31	1934719	0	42600100
#size	time	papi	pfs	ndk
65536	66	4130267	0	91752200
#size	time	papi	pfs	ndk
131072	142	8783489	0	196609900
#size	time	papi	pfs	ndk
262144	302	18613888	10	419432400
#size	time	papi	pfs	ndk
524288	642	39323555	1537	891291700
#size	time	papi	pfs	ndk
1048576	1354	82839571	2052	1887439000
#size	time	papi	pfs	ndk
2097152	2850	174065765	2571	3984591100
#size	time	papi	pfs	ndk
4194304	5983	364906755	3099	8388610400
