#size	time	papi	pfs	ndk
1	0	82	0	0
#size	time	papi	pfs	ndk
2	0	145	0	0
#size	time	papi	pfs	ndk
4	0	211	0	0
#size	time	papi	pfs	ndk
8	0	323	0	0
#size	time	papi	pfs	ndk
16	0	560	0	0
#size	time	papi	pfs	ndk
32	0	1072	0	0
#size	time	papi	pfs	ndk
64	0	2106	0	0
#size	time	papi	pfs	ndk
128	0	4154	0	0
#size	time	papi	pfs	ndk
256	0	8250	0	0
#size	time	papi	pfs	ndk
512	0	16442	0	0
#size	time	papi	pfs	ndk
1024	0	32826	0	0
#size	time	papi	pfs	ndk
2048	0	65594	0	0
#size	time	papi	pfs	ndk
4096	0	131130	0	0
#size	time	papi	pfs	ndk
8192	0	262202	0	0
#size	time	papi	pfs	ndk
16384	0	524346	0	0
#size	time	papi	pfs	ndk
32768	1	1048634	0	0
#size	time	papi	pfs	ndk
65536	4	2097210	0	0
#size	time	papi	pfs	ndk
131072	8	4194421	0	0
#size	time	papi	pfs	ndk
262144	16	8388803	10	0
#size	time	papi	pfs	ndk
524288	38	16783563	8150	0
#size	time	papi	pfs	ndk
1048576	76	33566960	16384	0
#size	time	papi	pfs	ndk
2097152	156	67133790	32768	0
#size	time	papi	pfs	ndk
4194304	314	134267547	65536	0
