#size	time	papi	pfs	ndk	tca	tcm
1024	0	29281	0	0	1824	468
#size	time	papi	pfs	ndk	tca	tcm
2048	0	31834	0	0	5979	773
#size	time	papi	pfs	ndk	tca	tcm
4096	0	33189	0	0	9608	2533
#size	time	papi	pfs	ndk	tca	tcm
8192	0	34529	0	0	12366	5278
#size	time	papi	pfs	ndk	tca	tcm
16384	0	36029	0	0	14508	7680
#size	time	papi	pfs	ndk	tca	tcm
32768	0	37487	0	0	16601	9749
#size	time	papi	pfs	ndk	tca	tcm
65536	0	38824	0	0	19735	11882
#size	time	papi	pfs	ndk	tca	tcm
131072	0	40125	0	0	23103	14053
#size	time	papi	pfs	ndk	tca	tcm
262144	0	41498	0	0	26527	15663
#size	time	papi	pfs	ndk	tca	tcm
524288	0	42642	0	0	29981	18265
#size	time	papi	pfs	ndk	tca	tcm
1048576	0	43878	0	0	33030	21313
#size	time	papi	pfs	ndk	tca	tcm
2097152	0	45002	0	0	35932	24290
#size	time	papi	pfs	ndk	tca	tcm
4194304	0	46240	0	0	31315	23416
#size	time	papi	pfs	ndk	tca	tcm
8388608	1	47439	0	0	35437	26460
#size	time	papi	pfs	ndk	tca	tcm
16777216	1	49017	0	0	35866	26892
