#size	time	papi	pfs	ndk	tca	tcm
1024	1	454480	0	0	12424	7641
#size	time	papi	pfs	ndk	tca	tcm
2048	1	417285	0	0	13203	9804
#size	time	papi	pfs	ndk	tca	tcm
4096	1	392146	0	0	13615	11160
#size	time	papi	pfs	ndk	tca	tcm
8192	1	410123	0	0	15784	13975
#size	time	papi	pfs	ndk	tca	tcm
16384	1	472595	0	0	18685	17207
#size	time	papi	pfs	ndk	tca	tcm
32768	1	482593	0	0	19333	17907
#size	time	papi	pfs	ndk	tca	tcm
65536	1	459713	0	0	18308	17021
#size	time	papi	pfs	ndk	tca	tcm
131072	1	445419	0	0	17447	16174
#size	time	papi	pfs	ndk	tca	tcm
262144	1	431128	0	0	16409	15194
#size	time	papi	pfs	ndk	tca	tcm
524288	1	437009	0	0	16276	15080
#size	time	papi	pfs	ndk	tca	tcm
1048576	1	454842	0	0	16872	15695
#size	time	papi	pfs	ndk	tca	tcm
2097152	1	448346	0	0	16649	15545
#size	time	papi	pfs	ndk	tca	tcm
4194304	1	439033	0	0	16162	15019
#size	time	papi	pfs	ndk	tca	tcm
8388608	1	438491	0	0	15623	14452
#size	time	papi	pfs	ndk	tca	tcm
16777216	1	420669	0	0	14008	12842
