#size	time	papi	pfs	ndk	tca	tcm
1024	0	33060	0	0	316376	0
#size	time	papi	pfs	ndk	tca	tcm
2048	0	37060	0	0	343365	0
#size	time	papi	pfs	ndk	tca	tcm
4096	0	40160	0	0	373461	0
#size	time	papi	pfs	ndk	tca	tcm
8192	0	43534	0	0	400541	0
#size	time	papi	pfs	ndk	tca	tcm
16384	0	46013	0	0	454757	0
#size	time	papi	pfs	ndk	tca	tcm
32768	0	48833	0	0	507161	0
#size	time	papi	pfs	ndk	tca	tcm
65536	0	52574	0	0	555430	0
#size	time	papi	pfs	ndk	tca	tcm
131072	0	55732	0	0	590515	0
#size	time	papi	pfs	ndk	tca	tcm
262144	0	58290	0	0	607907	0
#size	time	papi	pfs	ndk	tca	tcm
524288	0	61368	0	0	646482	0
#size	time	papi	pfs	ndk	tca	tcm
1048576	0	63295	0	0	667147	0
#size	time	papi	pfs	ndk	tca	tcm
2097152	0	67388	0	0	716502	0
#size	time	papi	pfs	ndk	tca	tcm
4194304	0	70215	0	0	771997	0
#size	time	papi	pfs	ndk	tca	tcm
8388608	0	73805	0	0	843487	0
#size	time	papi	pfs	ndk	tca	tcm
16777216	0	78189	0	0	918035	0
