#size	time	papi	pfs	ndk	tca	tcm
1024	1	545422	0	0	4294573	0
#size	time	papi	pfs	ndk	tca	tcm
2048	1	525540	0	0	4152620	0
#size	time	papi	pfs	ndk	tca	tcm
4096	1	500283	0	0	4004632	0
#size	time	papi	pfs	ndk	tca	tcm
8192	1	482775	0	0	4148514	0
#size	time	papi	pfs	ndk	tca	tcm
16384	1	498717	0	0	4580006	0
#size	time	papi	pfs	ndk	tca	tcm
32768	1	529207	0	0	4978092	0
#size	time	papi	pfs	ndk	tca	tcm
65536	1	542632	0	0	5188235	0
#size	time	papi	pfs	ndk	tca	tcm
131072	1	543037	0	0	5072550	0
#size	time	papi	pfs	ndk	tca	tcm
262144	1	535658	0	0	4932680	0
#size	time	papi	pfs	ndk	tca	tcm
524288	1	528197	0	0	4872870	0
#size	time	papi	pfs	ndk	tca	tcm
1048576	1	531362	0	0	4844190	0
#size	time	papi	pfs	ndk	tca	tcm
2097152	1	537648	0	0	4947643	0
#size	time	papi	pfs	ndk	tca	tcm
4194304	1	537962	0	0	4905569	0
#size	time	papi	pfs	ndk	tca	tcm
8388608	1	538809	0	0	4743709	0
#size	time	papi	pfs	ndk	tca	tcm
16777216	1	537102	0	0	4565825	0
