#size	time	papi	pfs	ndk	tca	tcm
8	0	4360	0	0	53816	0
#size	time	papi	pfs	ndk	tca	tcm
16	0	4865	0	0	57285	0
#size	time	papi	pfs	ndk	tca	tcm
32	0	5865	0	0	66665	0
#size	time	papi	pfs	ndk	tca	tcm
64	0	6965	0	0	72690	0
#size	time	papi	pfs	ndk	tca	tcm
128	0	8465	0	0	85036	0
#size	time	papi	pfs	ndk	tca	tcm
256	0	8665	0	0	85833	0
#size	time	papi	pfs	ndk	tca	tcm
512	0	10165	0	0	98353	0
#size	time	papi	pfs	ndk	tca	tcm
1024	0	11065	0	0	103412	0
#size	time	papi	pfs	ndk	tca	tcm
2048	0	12465	0	0	120096	0
#size	time	papi	pfs	ndk	tca	tcm
4096	0	12965	0	0	129837	0
#size	time	papi	pfs	ndk	tca	tcm
8192	0	14165	0	0	137024	0
#size	time	papi	pfs	ndk	tca	tcm
16384	0	15065	0	0	155293	0
#size	time	papi	pfs	ndk	tca	tcm
32768	0	15865	0	0	182248	0
#size	time	papi	pfs	ndk	tca	tcm
65536	0	17165	0	0	170835	0
#size	time	papi	pfs	ndk	tca	tcm
131072	0	18165	0	0	183967	0
#size	time	papi	pfs	ndk	tca	tcm
262144	0	19065	0	0	191872	0
#size	time	papi	pfs	ndk	tca	tcm
524288	0	19665	0	0	197503	0
#size	time	papi	pfs	ndk	tca	tcm
1048576	0	21265	0	0	219038	0
#size	time	papi	pfs	ndk	tca	tcm
2097152	0	21565	0	0	218915	0
#size	time	papi	pfs	ndk	tca	tcm
4194304	0	22965	0	0	237206	0
#size	time	papi	pfs	ndk	tca	tcm
8388608	0	24065	0	0	248408	0
#size	time	papi	pfs	ndk	tca	tcm
16777216	0	24965	0	0	268787	0
