#size	time	papi	pfs	ndk	tca	tcm
8	0	1065	0	0	14397	0
#size	time	papi	pfs	ndk	tca	tcm
16	0	1065	0	0	14367	0
#size	time	papi	pfs	ndk	tca	tcm
32	0	1065	0	0	15857	0
#size	time	papi	pfs	ndk	tca	tcm
64	0	1065	0	0	15851	0
#size	time	papi	pfs	ndk	tca	tcm
128	0	1065	0	0	16983	0
#size	time	papi	pfs	ndk	tca	tcm
256	0	1065	0	0	12939	0
#size	time	papi	pfs	ndk	tca	tcm
512	0	1065	0	0	15707	0
#size	time	papi	pfs	ndk	tca	tcm
1024	0	1065	0	0	16981	0
#size	time	papi	pfs	ndk	tca	tcm
2048	0	1065	0	0	18563	0
#size	time	papi	pfs	ndk	tca	tcm
4096	0	1065	0	0	15958	0
#size	time	papi	pfs	ndk	tca	tcm
8192	0	1065	0	0	16346	0
#size	time	papi	pfs	ndk	tca	tcm
16384	0	1065	0	0	17913	0
#size	time	papi	pfs	ndk	tca	tcm
32768	0	1065	0	0	15780	0
#size	time	papi	pfs	ndk	tca	tcm
65536	0	1065	0	0	19993	0
#size	time	papi	pfs	ndk	tca	tcm
131072	0	1065	0	0	25581	0
#size	time	papi	pfs	ndk	tca	tcm
262144	0	1065	0	0	25891	0
#size	time	papi	pfs	ndk	tca	tcm
524288	0	1065	0	0	26912	0
#size	time	papi	pfs	ndk	tca	tcm
1048576	0	1065	0	0	29416	0
#size	time	papi	pfs	ndk	tca	tcm
2097152	0	1065	0	0	28575	0
#size	time	papi	pfs	ndk	tca	tcm
4194304	0	1065	0	0	27693	0
#size	time	papi	pfs	ndk	tca	tcm
8388608	0	1065	0	0	30140	0
#size	time	papi	pfs	ndk	tca	tcm
16777216	0	1065	0	0	31382	0
