#size	time	papi	pfs	ndk	tca	tcm
8	0	725	0	0	411	215
#size	time	papi	pfs	ndk	tca	tcm
16	0	1227	0	0	384	202
#size	time	papi	pfs	ndk	tca	tcm
32	0	1902	0	0	401	223
#size	time	papi	pfs	ndk	tca	tcm
64	0	3853	0	0	464	242
#size	time	papi	pfs	ndk	tca	tcm
128	0	7808	1	0	567	253
#size	time	papi	pfs	ndk	tca	tcm
256	0	15972	3	0	741	290
#size	time	papi	pfs	ndk	tca	tcm
512	0	32191	3	0	1181	337
#size	time	papi	pfs	ndk	tca	tcm
1024	0	66215	3	0	2628	371
#size	time	papi	pfs	ndk	tca	tcm
2048	0	136030	5	0	7876	539
#size	time	papi	pfs	ndk	tca	tcm
4096	1	280106	7	0	23206	1448
#size	time	papi	pfs	ndk	tca	tcm
8192	2	576578	12	0	59795	6890
#size	time	papi	pfs	ndk	tca	tcm
16384	5	1186273	22	0	148213	40212
#size	time	papi	pfs	ndk	tca	tcm
32768	12	2438810	41	0	353165	149282
#size	time	papi	pfs	ndk	tca	tcm
65536	26	5010617	79	0	815838	423249
#size	time	papi	pfs	ndk	tca	tcm
131072	58	10288281	12	0	1810656	1089346
#size	time	papi	pfs	ndk	tca	tcm
262144	147	21111785	12	0	4016026	2627483
#size	time	papi	pfs	ndk	tca	tcm
524288	338	43303325	13	0	8760417	6069774
#size	time	papi	pfs	ndk	tca	tcm
1048576	765	88708336	14	0	19001340	13691019
#size	time	papi	pfs	ndk	tca	tcm
2097152	1809	181691161	425	0	41537427	30968593
#size	time	papi	pfs	ndk	tca	tcm
4194304	3957	371927855	778	0	90157158	68298832
#size	time	papi	pfs	ndk	tca	tcm
8388608	8912	761096599	899	0	193778088	149810801
#size	time	papi	pfs	ndk	tca	tcm
16777216	19267	1556780410	2145	0	417145274	324843264
