#size	time	papi	pfs	ndk	tca	tcm
8	0	2926	0	0	398	256
#size	time	papi	pfs	ndk	tca	tcm
16	0	6666	0	0	482	324
#size	time	papi	pfs	ndk	tca	tcm
32	0	14374	0	0	627	429
#size	time	papi	pfs	ndk	tca	tcm
64	0	28901	0	0	897	652
#size	time	papi	pfs	ndk	tca	tcm
128	0	57008	0	0	1466	1077
#size	time	papi	pfs	ndk	tca	tcm
256	0	114329	0	0	2883	1928
#size	time	papi	pfs	ndk	tca	tcm
512	0	229243	0	0	5865	3517
#size	time	papi	pfs	ndk	tca	tcm
1024	1	448148	0	0	11726	6485
#size	time	papi	pfs	ndk	tca	tcm
2048	2	863952	0	0	23795	14221
#size	time	papi	pfs	ndk	tca	tcm
4096	5	1641543	0	0	49316	32082
#size	time	papi	pfs	ndk	tca	tcm
8192	11	3183021	0	0	104390	76493
#size	time	papi	pfs	ndk	tca	tcm
16384	23	6577515	0	0	236149	190031
#size	time	papi	pfs	ndk	tca	tcm
32768	53	13938329	0	0	529673	450079
#size	time	papi	pfs	ndk	tca	tcm
65536	108	28518753	0	0	1099140	954036
#size	time	papi	pfs	ndk	tca	tcm
131072	216	56963843	0	0	2189830	1922483
#size	time	papi	pfs	ndk	tca	tcm
262144	437	112126198	0	0	4286054	3776526
#size	time	papi	pfs	ndk	tca	tcm
524288	866	220648509	0	0	8166038	7191930
#size	time	papi	pfs	ndk	tca	tcm
1048576	1754	442872178	0	0	16085402	14204865
#size	time	papi	pfs	ndk	tca	tcm
2097152	3643	892388444	0	0	32086587	28417340
#size	time	papi	pfs	ndk	tca	tcm
4194304	6981	1774910387	2	0	61871842	54610293
#size	time	papi	pfs	ndk	tca	tcm
8388608	13791	3516127275	4	0	118267128	103876407
#size	time	papi	pfs	ndk	tca	tcm
16777216	26252	6902628098	1	0	217447046	188506063
