#size	time	papi	pfs	ndk	tca	tcm
8	0	561	0	0	350	181
#size	time	papi	pfs	ndk	tca	tcm
16	0	919	0	0	323	172
#size	time	papi	pfs	ndk	tca	tcm
32	0	1792	1	0	359	180
#size	time	papi	pfs	ndk	tca	tcm
64	0	3573	0	0	352	191
#size	time	papi	pfs	ndk	tca	tcm
128	0	7444	1	0	450	197
#size	time	papi	pfs	ndk	tca	tcm
256	0	15707	0	0	516	207
#size	time	papi	pfs	ndk	tca	tcm
512	0	33606	2	0	772	252
#size	time	papi	pfs	ndk	tca	tcm
1024	0	71050	7	0	1170	291
#size	time	papi	pfs	ndk	tca	tcm
2048	0	150200	8	0	1981	400
#size	time	papi	pfs	ndk	tca	tcm
4096	0	316661	11	0	4306	542
#size	time	papi	pfs	ndk	tca	tcm
8192	1	666063	14	0	27751	728
#size	time	papi	pfs	ndk	tca	tcm
16384	3	1397567	14	0	119652	1110
#size	time	papi	pfs	ndk	tca	tcm
32768	7	2926195	14	0	658450	2133
#size	time	papi	pfs	ndk	tca	tcm
65536	16	6114533	14	0	748457	21965
#size	time	papi	pfs	ndk	tca	tcm
131072	40	12753291	14	0	2104611	885223
#size	time	papi	pfs	ndk	tca	tcm
262144	88	26555169	14	0	4917821	2633426
#size	time	papi	pfs	ndk	tca	tcm
524288	178	55207521	15	0	10267275	6202850
#size	time	papi	pfs	ndk	tca	tcm
1048576	370	114609403	570	0	22685405	9334644
#size	time	papi	pfs	ndk	tca	tcm
2097152	792	237607354	1245	0	92208834	37062815
#size	time	papi	pfs	ndk	tca	tcm
4194304	1714	491991848	1249	0	105502658	58912673
#size	time	papi	pfs	ndk	tca	tcm
8388608	4347	1017538083	1259	0	439787808	290859789
#size	time	papi	pfs	ndk	tca	tcm
16777216	10639	2102185170	2505	0	496350952	338017794
