#size	time	papi	pfs	ndk	tca	tcm
8	0	2396	0	0	326	201
#size	time	papi	pfs	ndk	tca	tcm
16	0	5644	0	0	342	208
#size	time	papi	pfs	ndk	tca	tcm
32	0	12190	0	0	389	240
#size	time	papi	pfs	ndk	tca	tcm
64	0	25274	0	0	414	244
#size	time	papi	pfs	ndk	tca	tcm
128	0	51282	0	0	529	262
#size	time	papi	pfs	ndk	tca	tcm
256	0	103341	0	0	726	321
#size	time	papi	pfs	ndk	tca	tcm
512	0	207570	0	0	1136	436
#size	time	papi	pfs	ndk	tca	tcm
1024	1	416026	0	0	1907	611
#size	time	papi	pfs	ndk	tca	tcm
2048	2	832988	0	0	3563	988
#size	time	papi	pfs	ndk	tca	tcm
4096	4	1666904	0	0	6887	1546
#size	time	papi	pfs	ndk	tca	tcm
8192	8	3334312	0	0	13102	2590
#size	time	papi	pfs	ndk	tca	tcm
16384	16	6669369	0	0	25665	4566
#size	time	papi	pfs	ndk	tca	tcm
32768	33	13339626	0	0	51160	8966
#size	time	papi	pfs	ndk	tca	tcm
65536	67	26680138	0	0	100555	16253
#size	time	papi	pfs	ndk	tca	tcm
131072	134	53361212	0	0	200869	32593
#size	time	papi	pfs	ndk	tca	tcm
262144	269	106723352	0	0	399832	63122
#size	time	papi	pfs	ndk	tca	tcm
524288	540	213447472	0	0	801521	126358
#size	time	papi	pfs	ndk	tca	tcm
1048576	1091	426895755	0	0	1624482	278940
#size	time	papi	pfs	ndk	tca	tcm
2097152	2167	853792432	0	0	3203524	506064
#size	time	papi	pfs	ndk	tca	tcm
4194304	4325	1707585784	0	0	6399124	1007502
#size	time	papi	pfs	ndk	tca	tcm
8388608	8656	3415172538	0	0	12781522	1999755
#size	time	papi	pfs	ndk	tca	tcm
16777216	17355	6830346038	0	0	25557929	3984871
