#size	time	papi	pfs	ndk	tca	tcm
8	0	561	0	0	359	180
#size	time	papi	pfs	ndk	tca	tcm
16	0	919	0	0	325	181
#size	time	papi	pfs	ndk	tca	tcm
32	0	1734	0	0	339	183
#size	time	papi	pfs	ndk	tca	tcm
64	0	3623	0	0	401	208
#size	time	papi	pfs	ndk	tca	tcm
128	0	7491	1	0	456	209
#size	time	papi	pfs	ndk	tca	tcm
256	0	15854	3	0	566	233
#size	time	papi	pfs	ndk	tca	tcm
512	0	33596	3	0	797	282
#size	time	papi	pfs	ndk	tca	tcm
1024	0	70914	4	0	1185	315
#size	time	papi	pfs	ndk	tca	tcm
2048	0	149738	8	0	1971	401
#size	time	papi	pfs	ndk	tca	tcm
4096	0	315593	7	0	3649	634
#size	time	papi	pfs	ndk	tca	tcm
8192	1	663824	12	0	27790	814
#size	time	papi	pfs	ndk	tca	tcm
16384	3	1392863	21	0	119998	1116
#size	time	papi	pfs	ndk	tca	tcm
32768	7	2916551	39	0	342236	1789
#size	time	papi	pfs	ndk	tca	tcm
65536	16	6095060	39	0	849625	10736
#size	time	papi	pfs	ndk	tca	tcm
131072	37	12714183	39	0	1996419	666796
#size	time	papi	pfs	ndk	tca	tcm
262144	86	26476730	39	0	4551582	2310832
#size	time	papi	pfs	ndk	tca	tcm
524288	179	55050413	40	0	10188357	6126399
#size	time	papi	pfs	ndk	tca	tcm
1048576	385	114294944	41	0	22514040	14817794
#size	time	papi	pfs	ndk	tca	tcm
2097152	830	236978323	43	0	49252690	34271266
#size	time	papi	pfs	ndk	tca	tcm
4194304	1792	490733702	866	0	106921736	67466991
#size	time	papi	pfs	ndk	tca	tcm
8388608	4020	1015021689	1284	0	230782114	158154885
