#size	time	papi	pfs	ndk	tca	tcm
8	0	2441	0	0	318	195
#size	time	papi	pfs	ndk	tca	tcm
16	0	5750	0	0	337	224
#size	time	papi	pfs	ndk	tca	tcm
32	0	12299	0	0	358	235
#size	time	papi	pfs	ndk	tca	tcm
64	0	25292	0	0	421	257
#size	time	papi	pfs	ndk	tca	tcm
128	0	51327	0	0	514	304
#size	time	papi	pfs	ndk	tca	tcm
256	0	103447	0	0	719	401
#size	time	papi	pfs	ndk	tca	tcm
512	0	207649	0	0	1155	536
#size	time	papi	pfs	ndk	tca	tcm
1024	1	416166	0	0	1999	923
#size	time	papi	pfs	ndk	tca	tcm
2048	2	833131	0	0	3583	1588
#size	time	papi	pfs	ndk	tca	tcm
4096	4	1666815	0	0	6710	2608
#size	time	papi	pfs	ndk	tca	tcm
8192	8	3334330	0	0	13026	4644
#size	time	papi	pfs	ndk	tca	tcm
16384	17	6669475	0	0	26105	9393
#size	time	papi	pfs	ndk	tca	tcm
32768	34	13339705	0	0	50604	17172
#size	time	papi	pfs	ndk	tca	tcm
65536	70	26680278	0	0	100353	33667
#size	time	papi	pfs	ndk	tca	tcm
131072	137	53361355	0	0	199637	66257
#size	time	papi	pfs	ndk	tca	tcm
262144	279	106723404	0	0	399464	132879
#size	time	papi	pfs	ndk	tca	tcm
524288	551	213447551	0	0	797747	263343
#size	time	papi	pfs	ndk	tca	tcm
1048576	1108	426895895	0	0	1593760	528544
#size	time	papi	pfs	ndk	tca	tcm
2097152	2212	853792545	0	0	3189878	1046011
#size	time	papi	pfs	ndk	tca	tcm
4194304	4444	1707585958	0	0	6382417	2100936
#size	time	papi	pfs	ndk	tca	tcm
8388608	8885	3415172715	0	0	12863638	4323630
