#size	time	papi	pfs	ndk
7	0	8390	0	0
#size	time	papi	pfs	ndk
15	0	8274	0	0
#size	time	papi	pfs	ndk
31	0	8141	0	0
#size	time	papi	pfs	ndk
63	0	8157	0	0
#size	time	papi	pfs	ndk
127	0	8106	0	0
#size	time	papi	pfs	ndk
255	0	8539	0	0
#size	time	papi	pfs	ndk
511	0	8281	0	0
#size	time	papi	pfs	ndk
1023	0	8579	0	0
#size	time	papi	pfs	ndk
2047	0	8523	0	0
#size	time	papi	pfs	ndk
4095	0	8856	0	0
#size	time	papi	pfs	ndk
8191	0	8479	0	0
#size	time	papi	pfs	ndk
16383	0	8574	0	0
#size	time	papi	pfs	ndk
32767	0	9960	0	0
#size	time	papi	pfs	ndk
65535	0	10288	0	0
#size	time	papi	pfs	ndk
131071	0	13074	0	0
#size	time	papi	pfs	ndk
262143	0	13448	0	0
#size	time	papi	pfs	ndk
524287	0	13568	0	0
#size	time	papi	pfs	ndk
1048575	0	14413	0	0
#size	time	papi	pfs	ndk
2097151	0	14312	0	0
#size	time	papi	pfs	ndk
4194303	0	14285	0	0
#size	time	papi	pfs	ndk
8388607	0	15045	0	0
#size	time	papi	pfs	ndk
16777215	0	13907	0	0
