#size	time	papi	pfs	ndk
7	0	16099	0	0
#size	time	papi	pfs	ndk
15	0	16565	0	0
#size	time	papi	pfs	ndk
31	0	33792	3	0
#size	time	papi	pfs	ndk
63	0	32333	1	0
#size	time	papi	pfs	ndk
127	0	72721	2	0
#size	time	papi	pfs	ndk
255	0	74025	3	0
#size	time	papi	pfs	ndk
511	0	241066	13	0
#size	time	papi	pfs	ndk
1023	0	244708	13	0
#size	time	papi	pfs	ndk
2047	0	963280	50	0
#size	time	papi	pfs	ndk
4095	0	971579	51	0
#size	time	papi	pfs	ndk
8191	2	3443401	68	0
#size	time	papi	pfs	ndk
16383	2	3437157	66	0
#size	time	papi	pfs	ndk
32767	9	13278539	67	0
#size	time	papi	pfs	ndk
65535	9	13293119	67	0
#size	time	papi	pfs	ndk
131071	33	55352302	72	0
#size	time	papi	pfs	ndk
262143	20	54416110	72	0
#size	time	papi	pfs	ndk
524287	100	221067563	8266	0
#size	time	papi	pfs	ndk
1048575	94	220898255	8265	0
#size	time	papi	pfs	ndk
2097151	328	939132502	20607	0
#size	time	papi	pfs	ndk
4194303	331	939037625	20607	0
#size	time	papi	pfs	ndk
8388607	1283	3739175101	82227	0
#size	time	papi	pfs	ndk
16777215	1291	3735040770	82225	0
#size	time	papi	pfs	ndk
524287	132	213254451	13311	0
#size	time	papi	pfs	ndk
1048575	130	210766110	13303	0
#size	time	papi	pfs	ndk
2097151	390	913428586	51437	0
#size	time	papi	pfs	ndk
4194303	384	916987424	51439	0
#size	time	papi	pfs	ndk
8388607	1325	3674914360	205401	0
#size	time	papi	pfs	ndk
7	0	24751	1	0
#size	time	papi	pfs	ndk
15	0	26018	0	0
#size	time	papi	pfs	ndk
31	0	44373	2	0
#size	time	papi	pfs	ndk
63	0	35872	3	0
#size	time	papi	pfs	ndk
127	0	75808	3	0
#size	time	papi	pfs	ndk
255	0	73024	2	0
#size	time	papi	pfs	ndk
511	0	227268	13	0
#size	time	papi	pfs	ndk
1023	0	235176	13	0
#size	time	papi	pfs	ndk
2047	0	931948	51	0
#size	time	papi	pfs	ndk
4095	0	1033501	51	0
#size	time	papi	pfs	ndk
8191	3	3706986	122	0
#size	time	papi	pfs	ndk
16383	2	3321382	122	0
#size	time	papi	pfs	ndk
32767	9	12858964	123	0
#size	time	papi	pfs	ndk
65535	9	13060274	122	0
#size	time	papi	pfs	ndk
131071	40	51930724	1805	0
#size	time	papi	pfs	ndk
262143	41	52006516	1805	0
#size	time	papi	pfs	ndk
524287	121	211849450	11770	0
#size	time	papi	pfs	ndk
1048575	121	210894748	11770	0
#size	time	papi	pfs	ndk
2097151	380	920022392	49904	0
#size	time	papi	pfs	ndk
4194303	372	910772092	49906	0
#size	time	papi	pfs	ndk
8388607	1334	3669207450	203868	0
