#size	time	papi	pfs	ndk
8	0	9181	0	0
#size	time	papi	pfs	ndk
16	0	10422	0	0
#size	time	papi	pfs	ndk
32	0	11058	0	0
#size	time	papi	pfs	ndk
64	0	10368	0	0
#size	time	papi	pfs	ndk
128	0	10515	0	0
#size	time	papi	pfs	ndk
256	0	10409	0	0
#size	time	papi	pfs	ndk
512	0	10675	0	0
#size	time	papi	pfs	ndk
1024	0	9638	0	0
#size	time	papi	pfs	ndk
2048	0	9291	0	0
#size	time	papi	pfs	ndk
4096	0	9749	0	0
#size	time	papi	pfs	ndk
8192	0	9808	0	0
#size	time	papi	pfs	ndk
16384	0	10463	0	0
#size	time	papi	pfs	ndk
32768	0	12220	0	0
#size	time	papi	pfs	ndk
65536	0	13503	0	0
#size	time	papi	pfs	ndk
131072	0	11414	0	0
#size	time	papi	pfs	ndk
262144	0	12546	0	0
#size	time	papi	pfs	ndk
524288	0	12548	0	0
#size	time	papi	pfs	ndk
1048576	0	12640	0	0
#size	time	papi	pfs	ndk
2097152	0	13584	0	0
#size	time	papi	pfs	ndk
4194304	0	13448	0	0
#size	time	papi	pfs	ndk
8388608	0	13334	0	0
#size	time	papi	pfs	ndk
16777216	0	13407	0	0
#size	time	papi	pfs	ndk
512	0	12695	0	0
#size	time	papi	pfs	ndk
1024	0	9953	0	0
#size	time	papi	pfs	ndk
2048	0	7887	0	0
#size	time	papi	pfs	ndk
4096	0	9330	0	0
#size	time	papi	pfs	ndk
8192	0	9696	0	0
#size	time	papi	pfs	ndk
16384	0	11704	0	0
#size	time	papi	pfs	ndk
32768	0	12105	0	0
#size	time	papi	pfs	ndk
65536	0	11001	0	0
#size	time	papi	pfs	ndk
131072	0	7967	0	0
#size	time	papi	pfs	ndk
262144	0	11866	0	0
#size	time	papi	pfs	ndk
524288	0	8649	0	0
#size	time	papi	pfs	ndk
1048576	0	7998	0	0
#size	time	papi	pfs	ndk
2097152	0	8737	0	0
#size	time	papi	pfs	ndk
4194304	0	10649	0	0
#size	time	papi	pfs	ndk
8388608	0	8094	0	0
#size	time	papi	pfs	ndk
32	0	9791	0	0
#size	time	papi	pfs	ndk
64	0	9164	0	0
#size	time	papi	pfs	ndk
128	0	9220	0	0
#size	time	papi	pfs	ndk
256	0	8858	0	0
#size	time	papi	pfs	ndk
512	0	9343	0	0
