#size	time	papi	pfs	ndk
8	0	17618	0	0
#size	time	papi	pfs	ndk
16	0	25448	0	0
#size	time	papi	pfs	ndk
32	0	36594	1	0
#size	time	papi	pfs	ndk
64	0	53549	2	0
#size	time	papi	pfs	ndk
128	0	84230	2	0
#size	time	papi	pfs	ndk
256	0	150282	6	0
#size	time	papi	pfs	ndk
512	0	281451	12	0
#size	time	papi	pfs	ndk
1024	0	541759	24	0
#size	time	papi	pfs	ndk
2048	0	1011092	49	0
#size	time	papi	pfs	ndk
4096	0	1805545	95	0
#size	time	papi	pfs	ndk
8192	1	3642980	191	0
#size	time	papi	pfs	ndk
16384	3	7175973	385	0
#size	time	papi	pfs	ndk
32768	6	14119156	772	0
#size	time	papi	pfs	ndk
65536	13	29263798	1667	0
#size	time	papi	pfs	ndk
131072	33	57859619	3337	0
#size	time	papi	pfs	ndk
262144	57	116267789	6651	0
#size	time	papi	pfs	ndk
524288	114	227659033	13302	0
#size	time	papi	pfs	ndk
1048576	218	486448105	25718	0
#size	time	papi	pfs	ndk
2097152	385	973008224	51437	0
#size	time	papi	pfs	ndk
4194304	710	1927506724	87657	0
#size	time	papi	pfs	ndk
8388608	1358	3865080973	153892	0
#size	time	papi	pfs	ndk
16777216	2457	7135514518	287119	0
