#size	time	pfs	PAPI1	PAPI2	PAPI3
2	0	0	63	30	12	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4	0	0	63	24	9	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8	0	0	73	25	11	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16	0	0	83	30	15	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32	0	0	93	31	13	
#size	time	pfs	PAPI1	PAPI2	PAPI3
64	0	0	103	36	17	
#size	time	pfs	PAPI1	PAPI2	PAPI3
128	0	0	113	41	16	
#size	time	pfs	PAPI1	PAPI2	PAPI3
256	0	0	123	45	23	
#size	time	pfs	PAPI1	PAPI2	PAPI3
512	0	0	133	46	25	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1024	0	0	143	51	30	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2048	0	0	153	55	35	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4096	0	5	163	56	33	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8192	0	5	173	64	48	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16384	0	5	183	75	53	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32768	0	4	193	82	54	
#size	time	pfs	PAPI1	PAPI2	PAPI3
65536	0	5	203	83	62	
#size	time	pfs	PAPI1	PAPI2	PAPI3
131072	0	5	213	92	67	
#size	time	pfs	PAPI1	PAPI2	PAPI3
262144	0	4	223	96	68	
#size	time	pfs	PAPI1	PAPI2	PAPI3
524288	0	5	233	97	73	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1048576	0	5	243	103	78	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2097152	0	4	253	106	75	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4194304	0	4	263	107	82	
