#size	time	pfs	PAPI1	PAPI2	PAPI3
2	0	0	73	27	4	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4	0	0	209	66	28	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8	0	0	234	72	32	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16	0	0	266	81	36	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32	0	0	279	79	37	
#size	time	pfs	PAPI1	PAPI2	PAPI3
64	0	0	308	84	36	
#size	time	pfs	PAPI1	PAPI2	PAPI3
128	0	0	332	87	37	
#size	time	pfs	PAPI1	PAPI2	PAPI3
256	0	0	351	90	38	
#size	time	pfs	PAPI1	PAPI2	PAPI3
512	0	0	380	92	44	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1024	0	0	418	97	41	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2048	0	0	433	114	58	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4096	0	0	463	105	56	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8192	0	0	484	125	65	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16384	0	0	508	140	63	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32768	0	0	529	168	81	
#size	time	pfs	PAPI1	PAPI2	PAPI3
65536	0	0	553	186	88	
#size	time	pfs	PAPI1	PAPI2	PAPI3
131072	0	0	574	190	92	
#size	time	pfs	PAPI1	PAPI2	PAPI3
262144	0	0	595	213	108	
#size	time	pfs	PAPI1	PAPI2	PAPI3
524288	0	0	619	216	104	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1048576	0	0	640	255	108	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2097152	0	0	664	262	125	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4194304	0	0	685	314	139	
