#size	time	pfs	PAPI1	PAPI2	PAPI3
2	0	0	228	45	17	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4	0	0	510	53	19	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8	0	0	537	56	21	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16	0	0	537	54	18	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32	0	0	537	56	20	
#size	time	pfs	PAPI1	PAPI2	PAPI3
64	0	0	537	55	20	
#size	time	pfs	PAPI1	PAPI2	PAPI3
128	0	0	537	62	20	
#size	time	pfs	PAPI1	PAPI2	PAPI3
256	0	0	537	56	22	
#size	time	pfs	PAPI1	PAPI2	PAPI3
512	0	0	537	60	25	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1024	0	0	537	61	30	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2048	0	0	537	60	34	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4096	0	0	537	60	37	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8192	0	0	537	66	42	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16384	0	0	537	68	42	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32768	0	0	537	73	46	
#size	time	pfs	PAPI1	PAPI2	PAPI3
65536	0	0	537	68	42	
#size	time	pfs	PAPI1	PAPI2	PAPI3
131072	0	0	537	71	44	
#size	time	pfs	PAPI1	PAPI2	PAPI3
262144	0	0	537	82	57	
#size	time	pfs	PAPI1	PAPI2	PAPI3
524288	0	0	537	75	49	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1048576	0	0	537	77	56	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2097152	0	0	537	80	58	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4194304	0	0	537	74	54	
