#size	time	pfs	PAPI1	PAPI2	PAPI3
1	0	0	57	26	13	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2	0	0	47	23	12	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4	0	0	51	23	12	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8	0	0	55	23	11	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16	0	0	59	21	9	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32	0	0	63	30	13	
#size	time	pfs	PAPI1	PAPI2	PAPI3
64	0	0	67	28	15	
#size	time	pfs	PAPI1	PAPI2	PAPI3
128	0	0	71	30	14	
#size	time	pfs	PAPI1	PAPI2	PAPI3
256	0	0	75	33	17	
#size	time	pfs	PAPI1	PAPI2	PAPI3
512	0	0	79	32	17	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1024	0	0	83	35	19	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2048	0	0	87	38	26	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4096	0	0	91	39	30	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8192	0	0	95	44	34	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16384	0	0	99	47	37	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32768	0	0	103	58	44	
#size	time	pfs	PAPI1	PAPI2	PAPI3
65536	0	0	107	68	54	
#size	time	pfs	PAPI1	PAPI2	PAPI3
131072	0	0	111	69	55	
#size	time	pfs	PAPI1	PAPI2	PAPI3
262144	0	0	115	68	55	
#size	time	pfs	PAPI1	PAPI2	PAPI3
524288	0	0	119	70	54	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1048576	0	0	123	73	57	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2097152	0	0	127	78	62	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4194304	0	5	131	85	66	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8388608	0	5	135	85	65	
