#size	time	pfs	PAPI1	PAPI2	PAPI3
1	0	0	75	40	16	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2	0	0	55	20	8	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4	0	0	53	26	9	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8	0	0	53	22	6	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16	0	0	53	21	8	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32	0	0	53	22	8	
#size	time	pfs	PAPI1	PAPI2	PAPI3
64	0	0	53	22	7	
#size	time	pfs	PAPI1	PAPI2	PAPI3
128	0	0	53	22	7	
#size	time	pfs	PAPI1	PAPI2	PAPI3
256	0	0	53	24	9	
#size	time	pfs	PAPI1	PAPI2	PAPI3
512	0	0	53	22	6	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1024	0	0	53	22	7	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2048	0	0	53	21	4	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4096	0	0	53	23	5	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8192	0	0	53	23	5	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16384	0	0	53	21	5	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32768	0	0	53	20	4	
#size	time	pfs	PAPI1	PAPI2	PAPI3
65536	0	0	53	21	8	
#size	time	pfs	PAPI1	PAPI2	PAPI3
131072	0	0	53	23	9	
#size	time	pfs	PAPI1	PAPI2	PAPI3
262144	0	0	53	24	7	
#size	time	pfs	PAPI1	PAPI2	PAPI3
524288	0	0	53	27	8	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1048576	0	0	53	26	8	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2097152	0	0	53	27	10	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4194304	0	0	53	23	10	
