#size	time	pfs	PAPI1	PAPI2	PAPI3
1	0	0	1433	99	61	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2	0	0	47	15	2	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4	0	0	681	69	37	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8	0	0	987	75	45	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16	0	0	1064	79	46	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32	0	0	1080	80	44	
#size	time	pfs	PAPI1	PAPI2	PAPI3
64	0	0	858	72	43	
#size	time	pfs	PAPI1	PAPI2	PAPI3
128	0	0	987	78	43	
#size	time	pfs	PAPI1	PAPI2	PAPI3
256	0	0	1064	80	48	
#size	time	pfs	PAPI1	PAPI2	PAPI3
512	0	0	955	80	40	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1024	0	0	1032	85	47	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2048	0	0	1048	81	46	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4096	0	0	649	59	36	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8192	0	0	999	75	41	
#size	time	pfs	PAPI1	PAPI2	PAPI3
16384	0	0	1205	80	40	
#size	time	pfs	PAPI1	PAPI2	PAPI3
32768	0	0	1096	87	50	
#size	time	pfs	PAPI1	PAPI2	PAPI3
65536	0	0	1173	94	59	
#size	time	pfs	PAPI1	PAPI2	PAPI3
131072	0	0	1189	92	54	
#size	time	pfs	PAPI1	PAPI2	PAPI3
262144	0	0	967	81	48	
#size	time	pfs	PAPI1	PAPI2	PAPI3
524288	0	0	1157	85	51	
#size	time	pfs	PAPI1	PAPI2	PAPI3
1048576	0	0	1234	91	56	
#size	time	pfs	PAPI1	PAPI2	PAPI3
2097152	0	0	1125	89	60	
#size	time	pfs	PAPI1	PAPI2	PAPI3
4194304	0	0	1263	90	63	
#size	time	pfs	PAPI1	PAPI2	PAPI3
8388608	0	0	1282	82	52	
