#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	80176	4008	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	78553	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	76854	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	75321	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	73860	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	73607	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	74820	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	77154	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	77762	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	77464	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	0	78161	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	0	75172	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	0	77427	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	0	0	77353	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	0	0	77031	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	0	0	76289	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	0	0	75040	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	0	0	77101	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	0	0	76645	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	0	0	75482	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	0	0	77193	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	0	0	76986	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	0	0	77399	3900	0	
