#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	71967	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	71609	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	72608	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	69554	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	69513	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	69174	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	72682	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	70661	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	73897	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	72107	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	0	72548	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	0	72426	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	0	73992	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	0	0	72993	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	0	0	70953	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	0	0	71525	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	0	0	72099	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	0	0	70693	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	0	0	71556	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	0	0	72109	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	0	0	72156	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	0	0	73548	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	0	0	72530	3900	0	
