#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	80887	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	77918	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	79708	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	75758	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	75533	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	78815	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	76906	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	79062	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	79904	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	81004	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	0	80669	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	0	79468	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	0	78897	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	0	0	78800	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	0	0	78521	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	0	0	77436	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	0	0	78507	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	0	0	78022	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	0	0	79009	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	0	0	79798	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	0	0	78937	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	0	0	80403	3900	0	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	0	0	78611	3900	0	
