#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	155	59	17	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	187	59	16	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	298	65	21	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	436	69	24	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	601	76	28	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	910	93	37	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	1429	106	44	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	2545	137	53	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	4503	180	66	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	8267	276	105	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	0	16099	470	149	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	9	31735	784	167	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	16	62531	1846	367	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	1	32	124946	3925	579	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	2	64	247608	7911	939	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	6	128	495659	15729	1807	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	12	256	994960	31121	3348	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	24	512	1983208	63762	9202	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	48	1024	3967655	123503	11477	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	96	1639	7927407	271806	26459	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	194	2665	15855656	583192	51287	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	393	5994	31729899	1155766	130879	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	786	13574	63445446	2196681	259639	
