#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	155	54	16	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	188	54	16	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	300	60	19	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	451	65	22	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	677	67	20	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	1115	86	26	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	2059	97	32	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	4175	124	40	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	8741	179	48	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	18806	284	94	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	0	40906	472	134	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	1	9	89119	785	160	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	3	16	193678	1889	405	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	6	32	419062	4005	696	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	14	64	902492	8029	1209	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	31	128	1934800	16072	2651	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	67	256	4130348	32422	5654	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	144	512	8783547	65506	12053	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	306	1024	18614040	128486	24206	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	654	1537	39323559	286495	45758	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	1376	2052	82839581	632032	84437	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	2916	2571	174065811	1359126	163656	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	6118	3099	364906760	2855318	342679	
