#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	170	73	34	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	140	56	27	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	203	61	30	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	329	64	32	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	578	76	35	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	1107	98	40	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	2160	138	57	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	4276	218	73	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	8496	357	94	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	16941	662	144	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	0	33841	1246	246	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	15	67655	1590	324	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	56	135255	1496	354	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	0	128	270482	1934	534	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	1	256	540893	3619	850	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	2	512	1081763	7090	1523	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	5	1024	2163505	14032	3051	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	9	2048	4326963	27271	5245	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	20	4096	8653891	55802	11518	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	39	8192	17307742	108068	19090	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	78	16384	34615447	214973	38587	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	158	32768	69230879	428443	69437	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	320	65536	138461721	860744	143870	
