#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	0	170	72	35	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	0	139	55	29	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	0	201	58	32	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	0	322	63	36	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	0	566	75	40	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	0	1078	98	48	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	0	2102	135	61	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	0	4150	212	75	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	0	8246	364	104	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	0	16438	662	147	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	0	32822	1246	245	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	15	65615	1577	319	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	56	131176	1483	305	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	0	128	262298	1778	348	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	1	256	524517	3488	553	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	2	512	1049005	6922	1188	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	4	1024	2097981	13768	2112	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	9	2048	4195908	27401	4473	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	19	4096	8391762	55978	8200	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	39	8192	16783470	108550	17853	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	77	16384	33566886	214215	31385	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	157	32768	67133743	433892	69099	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	321	65536	134267432	860055	139860	
