#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	1	199	230	130	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	2	264	238	139	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	2	345	262	181	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	2	458	245	142	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	3	621	240	136	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	2	898	246	143	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	3	1496	280	160	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	3	2527	310	178	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	4	4583	366	185	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	5	8619	428	199	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	8	16232	668	261	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	13	31634	1023	257	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	24	63535	2215	380	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	1	44	125003	5094	1051	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	2	85	248747	9037	1375	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	6	165	497608	19340	4200	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	12	325	993092	37305	9787	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	23	645	1985337	70863	16247	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	45	1281	3962169	138218	25103	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	94	2050	7935973	310970	54952	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	185	3077	15871757	663835	83017	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	354	2572	31713659	1386687	125907	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	710	3099	63433468	2869559	251964	
