#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	1	840	551	366	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	2	119	223	121	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	2	185	223	125	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	2	315	233	136	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	3	578	242	139	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	2	1107	264	143	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	3	2161	291	158	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	4	4274	335	159	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	7	8490	452	181	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	11	16945	700	237	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	21	33865	1234	351	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	39	67656	1907	442	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	75	135267	2963	872	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	0	147	270481	3038	895	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	1	291	540887	5672	1294	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	2	579	1081761	10762	2333	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	6	1154	2163501	21609	5197	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	10	2307	4326970	41492	8080	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	24	4611	8653893	83649	15889	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	43	9219	17307745	177336	32072	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	83	18435	34615449	328353	51895	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	155	32768	69230875	607756	83871	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	314	65536	138461717	1273359	175297	
