#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	1	58	217	98	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	3	201	264	148	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	7	910	313	196	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	16	2786	398	234	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	31	6670	551	349	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	62	13754	888	511	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	113	28165	1795	1035	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	202	55761	2633	1453	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	352	112587	5250	2687	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	1	632	224555	10055	5052	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	2	1241	435489	21080	10584	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	4	2568	841187	41843	23863	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	9	5534	1598721	87673	51526	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	19	11510	3088054	182054	116826	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	41	21780	6390542	394683	278664	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	89	39053	13577900	857110	644141	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	161	71571	27800614	1724093	1324539	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	308	131549	55520507	3381969	2638295	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	592	224037	109268701	6559199	5192945	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	1183	321939	214901819	12453311	10002312	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	2078	379009	431296532	23321737	19091921	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	3642	0	869269889	43090772	37413964	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	7677	0	1728787111	84901985	73696020	
