#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	2	199	228	122	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	2	265	242	143	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	3	348	254	143	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	2	467	248	137	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	2	677	252	152	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	4	1115	277	151	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	3	2059	285	157	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	4	4175	334	190	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	4	8739	477	223	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	7	18806	524	229	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	8	40906	634	248	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	1	13	89119	1101	270	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	2	24	193678	2581	727	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	6	44	419048	5074	1293	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	14	84	902492	11454	3628	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	29	164	1934800	21452	6821	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	64	325	4130373	48946	16652	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	135	644	8783522	94087	33317	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	279	1280	18614040	164775	50806	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	588	1537	39323534	364294	95309	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	1247	3076	82839556	808713	212199	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	3036	2571	174065811	1661318	411809	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	5496	3099	364906735	3477606	813862	
