#size	time	tpfs	PAPI1	PAPI2	PAPI3
1	0	2	86	223	130	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2	0	2	118	231	128	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4	0	3	182	243	122	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8	0	2	310	238	144	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16	0	2	566	252	139	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32	0	3	1078	279	144	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
64	0	3	2102	488	209	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
128	0	5	4150	401	176	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
256	0	6	8246	644	228	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
512	0	11	16438	913	261	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1024	0	21	32847	1522	301	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2048	0	38	65590	1941	372	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4096	0	75	131151	3593	618	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
8192	0	147	262248	7061	999	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
16384	1	291	524417	13846	1457	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
32768	2	579	1048805	27361	2934	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
65536	5	1155	2097581	55484	5836	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
131072	9	2307	4195133	105877	9317	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
262144	21	4611	8390212	208899	15018	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
524288	33	4096	16780370	396451	22149	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
1048576	84	18435	33566911	341853	51077	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
2097152	155	32768	67133743	610512	73991	
#size	time	tpfs	PAPI1	PAPI2	PAPI3
4194304	308	65536	134267432	1220539	144387	
